EURUSD Date: 2023-11-16 19:55:32.011272 to 2023-11-28 19:55:32.011272, Label: sell, Current Close: 1.09949, Future Close: 1.09703, Swing Low: 1.08249, Swing High: 1.10088
EURUSD Date: 2024-11-10 19:55:32.011272 to 2024-11-22 19:55:32.011272, Label: buy, Current Close: 1.05389, Future Close: 1.0539, Swing Low: 1.04963, Swing High: 1.0728
GBPUSD Date: 2023-11-16 19:55:32.011272 to 2023-11-28 19:55:32.011272, Label: sell, Current Close: 1.26978, Future Close: 1.2694, Swing Low: 1.23738, Swing High: 1.2715
GBPUSD Date: 2023-11-28 19:55:32.011272 to 2023-12-10 19:55:32.011272, Label: buy, Current Close: 1.25481, Future Close: 1.25541, Swing Low: 1.2502, Swing High: 1.27331
GBPUSD Date: 2023-12-10 19:55:32.011272 to 2023-12-22 19:55:32.011272, Label: hold, Current Close: 1.26973, Future Close: 1.26973, Swing Low: 1.25001, Swing High: 1.27939
GBPUSD Date: 2023-12-22 19:55:32.011272 to 2024-01-03 19:55:32.011272, Label: buy, Current Close: 1.26635, Future Close: 1.26825, Swing Low: 1.26106, Swing High: 1.28274
GBPUSD Date: 2024-01-03 19:55:32.011272 to 2024-01-15 19:55:32.011272, Label: sell, Current Close: 1.27277, Future Close: 1.26352, Swing Low: 1.2610700000000001, Swing High: 1.27854
GBPUSD Date: 2024-01-15 19:55:32.011272 to 2024-01-27 19:55:32.011272, Label: hold, Current Close: 1.27029, Future Close: 1.27029, Swing Low: 1.25963, Swing High: 1.27747
GBPUSD Date: 2024-01-27 19:55:32.011272 to 2024-02-08 19:55:32.011272, Label: buy, Current Close: 1.26196, Future Close: 1.263, Swing Low: 1.2518, Swing High: 1.27721
GBPUSD Date: 2024-02-08 19:55:32.011272 to 2024-02-20 19:55:32.011272, Label: buy, Current Close: 1.26216, Future Close: 1.26357, Swing Low: 1.25353, Swing High: 1.26905
GBPUSD Date: 2024-02-20 19:55:32.011272 to 2024-03-03 19:55:32.011272, Label: buy, Current Close: 1.26551, Future Close: 1.26908, Swing Low: 1.25996, Swing High: 1.27092
GBPUSD Date: 2024-03-03 19:55:32.011272 to 2024-03-15 19:55:32.011272, Label: hold, Current Close: 1.2735699999999999, Future Close: 1.2735699999999999, Swing Low: 1.26449, Swing High: 1.28936
GBPUSD Date: 2024-03-15 19:55:32.011272 to 2024-03-27 19:55:32.011272, Label: sell, Current Close: 1.26401, Future Close: 1.26211, Swing Low: 1.25751, Swing High: 1.2803499999999999
GBPUSD Date: 2024-03-27 19:55:32.011272 to 2024-04-08 19:55:32.011272, Label: buy, Current Close: 1.26545, Future Close: 1.26779, Swing Low: 1.25392, Swing High: 1.26834
GBPUSD Date: 2024-04-08 19:55:32.011272 to 2024-04-20 19:55:32.011272, Label: hold, Current Close: 1.2370700000000001, Future Close: 1.2370700000000001, Swing Low: 1.23664, Swing High: 1.27093
GBPUSD Date: 2024-04-20 19:55:32.011272 to 2024-05-02 19:55:32.011272, Label: buy, Current Close: 1.2536, Future Close: 1.25462, Swing Low: 1.22992, Swing High: 1.25692
GBPUSD Date: 2024-05-02 19:55:32.011272 to 2024-05-14 19:55:32.011272, Label: buy, Current Close: 1.25904, Future Close: 1.26848, Swing Low: 1.24457, Swing High: 1.26334
GBPUSD Date: 2024-05-14 19:55:32.011272 to 2024-05-26 19:55:32.011272, Label: buy, Current Close: 1.27358, Future Close: 1.27684, Swing Low: 1.2582499999999999, Swing High: 1.27611
GBPUSD Date: 2024-05-26 19:55:32.011272 to 2024-06-07 19:55:32.011272, Label: hold, Current Close: 1.27219, Future Close: 1.27219, Swing Low: 1.26807, Swing High: 1.28174
GBPUSD Date: 2024-06-07 19:55:32.011272 to 2024-06-19 19:55:32.011272, Label: sell, Current Close: 1.27193, Future Close: 1.26562, Swing Low: 1.26567, Swing High: 1.28603
GBPUSD Date: 2024-06-19 19:55:32.011272 to 2024-07-01 19:55:32.011272, Label: buy, Current Close: 1.26516, Future Close: 1.26853, Swing Low: 1.26126, Swing High: 1.27237
GBPUSD Date: 2024-07-01 19:55:32.011272 to 2024-07-13 19:55:32.011272, Label: hold, Current Close: 1.29865, Future Close: 1.29865, Swing Low: 1.26153, Swing High: 1.2990599999999999
GBPUSD Date: 2024-07-13 19:55:32.011272 to 2024-07-25 19:55:32.011272, Label: buy, Current Close: 1.28508, Future Close: 1.28664, Swing Low: 1.28495, Swing High: 1.30444
GBPUSD Date: 2024-07-25 19:55:32.011272 to 2024-08-06 19:55:32.011272, Label: sell, Current Close: 1.26905, Future Close: 1.26895, Swing Low: 1.26723, Swing High: 1.28879
GBPUSD Date: 2024-08-06 19:55:32.011272 to 2024-08-18 19:55:32.011272, Label: buy, Current Close: 1.29441, Future Close: 1.29898, Swing Low: 1.26647, Swing High: 1.29457
GBPUSD Date: 2024-08-18 19:55:32.011272 to 2024-08-30 19:55:32.011272, Label: hold, Current Close: 1.31292, Future Close: 1.31292, Swing Low: 1.29315, Swing High: 1.3265799999999999
GBPUSD Date: 2024-08-30 19:55:32.011272 to 2024-09-11 19:55:32.011272, Label: buy, Current Close: 1.30439, Future Close: 1.31257, Swing Low: 1.3001800000000001, Swing High: 1.32385
GBPUSD Date: 2024-09-11 19:55:32.011272 to 2024-09-23 19:55:32.011272, Label: buy, Current Close: 1.33487, Future Close: 1.34146, Swing Low: 1.3032, Swing High: 1.33593
GBPUSD Date: 2024-09-23 19:55:32.011272 to 2024-10-05 19:55:32.011272, Label: hold, Current Close: 1.31207, Future Close: 1.31207, Swing Low: 1.3069600000000001, Swing High: 1.34341
GBPUSD Date: 2024-10-05 19:55:32.011272 to 2024-10-17 19:55:32.011272, Label: buy, Current Close: 1.30107, Future Close: 1.3048600000000001, Swing Low: 1.29734, Swing High: 1.31344
GBPUSD Date: 2024-10-17 19:55:32.011272 to 2024-10-29 19:55:32.011272, Label: sell, Current Close: 1.30133, Future Close: 1.2962099999999999, Swing Low: 1.29071, Swing High: 1.3071
GBPUSD Date: 2024-10-29 19:55:32.011272 to 2024-11-10 19:55:32.011272, Label: sell, Current Close: 1.29182, Future Close: 1.28689, Swing Low: 1.28336, Swing High: 1.30475
GBPUSD Date: 2024-11-10 19:55:32.011272 to 2024-11-22 19:55:32.011272, Label: hold, Current Close: 1.26175, Future Close: 1.26175, Swing Low: 1.26128, Swing High: 1.29254
USDJPY Date: 2023-11-16 19:55:32.011272 to 2023-11-28 19:55:32.011272, Label: sell, Current Close: 147.454, Future Close: 147.216, Swing Low: 147.149, Swing High: 150.773
USDJPY Date: 2023-11-28 19:55:32.011272 to 2023-12-10 19:55:32.011272, Label: buy, Current Close: 144.991, Future Close: 146.185, Swing Low: 141.615, Swing High: 148.508
USDJPY Date: 2023-12-10 19:55:32.011272 to 2023-12-22 19:55:32.011272, Label: hold, Current Close: 142.412, Future Close: 142.412, Swing Low: 140.966, Swing High: 146.588
USDJPY Date: 2023-12-22 19:55:32.011272 to 2024-01-03 19:55:32.011272, Label: buy, Current Close: 143.297, Future Close: 144.616, Swing Low: 140.248, Swing High: 143.73
USDJPY Date: 2024-01-03 19:55:32.011272 to 2024-01-15 19:55:32.011272, Label: buy, Current Close: 145.776, Future Close: 147.178, Swing Low: 142.852, Swing High: 146.413
USDJPY Date: 2024-01-15 19:55:32.011272 to 2024-01-27 19:55:32.011272, Label: hold, Current Close: 148.126, Future Close: 148.126, Swing Low: 145.582, Swing High: 148.805
USDJPY Date: 2024-01-27 19:55:32.011272 to 2024-02-08 19:55:32.011272, Label: sell, Current Close: 149.327, Future Close: 149.262, Swing Low: 145.892, Swing High: 149.477
USDJPY Date: 2024-02-08 19:55:32.011272 to 2024-02-20 19:55:32.011272, Label: buy, Current Close: 149.996, Future Close: 150.293, Swing Low: 148.926, Swing High: 150.883
USDJPY Date: 2024-02-20 19:55:32.011272 to 2024-03-03 19:55:32.011272, Label: buy, Current Close: 150.123, Future Close: 150.516, Swing Low: 149.205, Swing High: 150.844
USDJPY Date: 2024-03-03 19:55:32.011272 to 2024-03-15 19:55:32.011272, Label: hold, Current Close: 149.058, Future Close: 149.058, Swing Low: 146.481, Swing High: 150.567
USDJPY Date: 2024-03-15 19:55:32.011272 to 2024-03-27 19:55:32.011272, Label: buy, Current Close: 151.307, Future Close: 151.375, Swing Low: 148.907, Swing High: 151.971
USDJPY Date: 2024-03-27 19:55:32.011272 to 2024-04-08 19:55:32.011272, Label: sell, Current Close: 151.852, Future Close: 151.762, Swing Low: 150.807, Swing High: 151.953
USDJPY Date: 2024-04-08 19:55:32.011272 to 2024-04-20 19:55:32.011272, Label: hold, Current Close: 154.64, Future Close: 154.64, Swing Low: 151.57, Swing High: 154.786
USDJPY Date: 2024-04-20 19:55:32.011272 to 2024-05-02 19:55:32.011272, Label: sell, Current Close: 153.69, Future Close: 152.864, Swing Low: 152.997, Swing High: 160.213
USDJPY Date: 2024-05-02 19:55:32.011272 to 2024-05-14 19:55:32.011272, Label: sell, Current Close: 156.442, Future Close: 154.881, Swing Low: 151.858, Swing High: 156.779
USDJPY Date: 2024-05-14 19:55:32.011272 to 2024-05-26 19:55:32.011272, Label: sell, Current Close: 156.968, Future Close: 156.919, Swing Low: 153.596, Swing High: 157.195
USDJPY Date: 2024-05-26 19:55:32.011272 to 2024-06-07 19:55:32.011272, Label: hold, Current Close: 156.755, Future Close: 156.755, Swing Low: 154.548, Swing High: 157.706
USDJPY Date: 2024-06-07 19:55:32.011272 to 2024-06-19 19:55:32.011272, Label: buy, Current Close: 158.076, Future Close: 158.924, Swing Low: 155.718, Swing High: 158.256
USDJPY Date: 2024-06-19 19:55:32.011272 to 2024-07-01 19:55:32.011272, Label: sell, Current Close: 161.472, Future Close: 161.415, Swing Low: 157.919, Swing High: 161.727
USDJPY Date: 2024-07-01 19:55:32.011272 to 2024-07-13 19:55:32.011272, Label: hold, Current Close: 157.88, Future Close: 157.88, Swing Low: 157.369, Swing High: 161.949
USDJPY Date: 2024-07-13 19:55:32.011272 to 2024-07-25 19:55:32.011272, Label: sell, Current Close: 154.025, Future Close: 153.758, Swing Low: 151.937, Swing High: 158.855
USDJPY Date: 2024-07-25 19:55:32.011272 to 2024-08-06 19:55:32.011272, Label: buy, Current Close: 144.401, Future Close: 146.764, Swing Low: 141.686, Swing High: 155.214
USDJPY Date: 2024-08-06 19:55:32.011272 to 2024-08-18 19:55:32.011272, Label: sell, Current Close: 147.598, Future Close: 146.634, Swing Low: 144.258, Swing High: 149.366
USDJPY Date: 2024-08-18 19:55:32.011272 to 2024-08-30 19:55:32.011272, Label: hold, Current Close: 146.202, Future Close: 146.202, Swing Low: 143.444, Swing High: 148.052
USDJPY Date: 2024-08-30 19:55:32.011272 to 2024-09-11 19:55:32.011272, Label: sell, Current Close: 142.365, Future Close: 141.8, Swing Low: 140.705, Swing High: 147.209
USDJPY Date: 2024-09-11 19:55:32.011272 to 2024-09-23 19:55:32.011272, Label: sell, Current Close: 143.613, Future Close: 143.16, Swing Low: 139.576, Swing High: 144.496
USDJPY Date: 2024-09-23 19:55:32.011272 to 2024-10-05 19:55:32.011272, Label: hold, Current Close: 148.643, Future Close: 148.643, Swing Low: 141.641, Swing High: 149.005
USDJPY Date: 2024-10-05 19:55:32.011272 to 2024-10-17 19:55:32.011272, Label: sell, Current Close: 150.209, Future Close: 149.518, Swing Low: 147.343, Swing High: 150.321
USDJPY Date: 2024-10-17 19:55:32.011272 to 2024-10-29 19:55:32.011272, Label: buy, Current Close: 153.362, Future Close: 153.389, Swing Low: 149.083, Swing High: 153.879
USDJPY Date: 2024-10-29 19:55:32.011272 to 2024-11-10 19:55:32.011272, Label: buy, Current Close: 152.608, Future Close: 153.713, Swing Low: 151.28, Swing High: 154.708
USDJPY Date: 2024-11-10 19:55:32.011272 to 2024-11-22 19:55:32.011272, Label: buy, Current Close: 154.164, Future Close: 154.165, Swing Low: 152.615, Swing High: 156.748
